Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Detective: A Modern Crime Board Game ,239,2018,10070,7.69703,7.25222,1.63132,2.7524,210,21141,18,1,4,2,2.0,213,Thematic,53,7.35555,"Cooperative Game
Narrative Choice / Paragraph
Solo / Solitaire Game
Storytelling
Variable Player Powers
",$27.43,,,,,,
Kanban: Driver's Edition ,240,2014,6703,7.79443,7.25087,1.44079,4.367,545,16598,7,2,4,3,4.0,134,Strategy ,146,7.37522,"Action Points
Commodity Speculation
Variable Phase Order
Worker Placement
",Unknown,,,,,,
Flamme Rouge ,241,2016,17050,7.50389,7.25041,1.27664,1.6846,428,73109,12,2,4,4,4.0,318,Family ,49,7.28934,"Catch the Leader
Hand Management
Modular Board
Programmed Movement
Race
Simulation
",$62.99,,,,,,
The Princes of Florence ,242,2000,15262,7.51277,7.25,1.35474,3.2432,1591,29134,14,3,5,5,5.0,280,Strategy ,172,7.30624,"Auction/Bidding
End Game Bonuses
Grid Coverage
Tile Placement
Victory Points as a Resource
",$65.00,,,,,,
Sushi Go Party! ,243,2016,32528,7.40578,7.24947,1.14822,1.3066,587,127475,8,2,8,4,5.0,289,Family ,52,7.2683,"Closed Drafting
End Game Bonuses
Hand Management
Set Collection
Simultaneous Action Selection
Variable Set-up
",$19.99,,,,,,
Goa: A New Expedition ,244,2004,11395,7.56376,7.24442,1.28641,3.3724,1144,25388,7,2,4,4,4.0,290,Strategy ,168,7.32528,"Auction/Bidding
Auction: Once Around
Hand Management
Push Your Luck
Tech Trees / Tech Tracks
",Unknown,,,,,,
Chronicles of Crime ,245,2018,21331,7.61745,7.24359,1.42636,2.0649,339,47723,17,1,3,2,2.0,339,Thematic,62,7.29207,"Cooperative Game
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Storytelling
",$33.10,,,,,,
"Unmatched: Battle of Legends, Volume One ",246,2019,7922,7.76528,7.24158,1.32781,1.9267,150,39171,5,2,2,2,2.0,116,Strategy ,181,7.29416,"Action Points
Card Play Conflict Resolution
Hand Management
Line of Sight
Point to Point Movement
Team-Based Game
",Unknown,,,,,,
Santorini ,247,2016,37096,7.37789,7.24156,1.32818,1.7302,708,233762,8,2,3,2,2.0,529,Abstract ,13,7.22292,"Grid Movement
Map Reduction
Race
Square Grid
Team-Based Game
Three Dimensional Movement
",Unknown,,,,,,
Fantasy Realms ,248,2017,13521,7.52543,7.24059,1.23235,1.7941,306,161983,1,2,5,2,3.0,297,Family ,45,7.30624,"End Game Bonuses
Hand Management
Open Drafting
Set Collection
",$15.60,,,,,,
Isle of Skye: From Chieftain to King ,249,2015,24595,7.40068,7.23944,1.15261,2.2535,710,85621,18,2,5,3,4.0,406,Strategy ,199,7.25889,"Catch the Leader
Commodity Speculation
I Cut, You Choose
Set Collection
Tile Placement
Turn Order: Progressive
",$41.99,Family ,51,7.27467,,,
Glory to Rome ,250,2005,14021,7.4891,7.23542,1.4041,2.9258,917,61473,7,2,5,3,4.0,277,Strategy ,183,7.2899,"End Game Bonuses
Follow
Hand Management
Multi-Use Cards
Set Collection
Sudden Death Ending
",Unknown,,,,,,
KLASK ,251,2014,9227,7.62713,7.23514,1.32346,1.0636,173,96923,8,2,2,2,2.0,74,Party ,6,7.38357,"Real-Time
Score-and-Reset Game
",$59.99,Family ,40,7.32774,,,
Hero Realms ,252,2016,17039,7.53177,7.2343,1.22867,1.8622,283,107590,6,2,4,2,2.0,201,Strategy ,210,7.23,"Deck, Bag, and Pool Building
Hand Management
Once-Per-Game Abilities
Take That
",$22.50,,,,,,
Pulsar 2849 ,253,2017,8401,7.67193,7.23421,1.19503,3.3455,275,20161,8,2,4,4,4.0,193,Strategy ,163,7.33424,"Dice Rolling
Open Drafting
Point to Point Movement
Worker Placement with Dice Workers
",$54.00,,,,,,
Hallertau ,254,2020,5110,7.92328,7.23155,1.18563,3.3025,238,19831,6,1,4,2,2.0,152,Strategy ,143,7.3806,"Advantage Token
Automatic Resource Growth
Contracts
End Game Bonuses
Hand Management
Income
",$89.99,,,,,,
Oathsworn: Into the Deepwood ,255,2022,2636,9.0548,7.23042,1.52092,3.5414,133,11621,5,1,4,2,2.0,84,Thematic,19,7.77509,"Action Points
Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Hand Management
",$649.99,,,,,,
1830: Railways & Robber Barons ,256,1986,5472,7.86402,7.23038,1.60908,4.1606,573,14914,0,3,6,4,5.0,132,Strategy ,145,7.3768,"Auction/Bidding
Hexagon Grid
Investment
Market
Network and Route Building
Ownership
",$80.07,,,,,,
Shogun ,257,2006,13766,7.52084,7.2301,1.34093,3.364,1239,18651,10,3,5,4,5.0,261,Strategy ,188,7.28177,"Action Queue
Area Majority / Influence
Area Movement
Auction/Bidding
Cube Tower
Simultaneous Action Selection
",$137.32,,,,,,
Samurai ,258,1998,16025,7.46128,7.22655,1.195,2.4771,1484,48336,5,2,4,3,3.0,341,Strategy ,193,7.26978,"Area Majority / Influence
Hand Management
Hexagon Grid
Once-Per-Game Abilities
Set Collection
Tile Placement
",Unknown,,,,,,
Galaxy Trucker ,259,2007,33426,7.35613,7.22651,1.45458,2.3305,1552,90031,11,2,4,4,4.0,451,Thematic,78,7.23123,"Dice Rolling
Events
Real-Time
Relative Movement
Team-Based Game
Tile Placement
",Unknown,,,,,,
1960: The Making of the President ,260,2007,9211,7.62209,7.22396,1.33418,3.2026,997,16640,5,2,2,2,2.0,242,Strategy ,179,7.30333,"Action/Event
Area Majority / Influence
Campaign / Battle Card Driven
Hand Management
Simulation
",Unknown,,,,,,
Camel Up (Second Edition) ,261,2018,10671,7.59126,7.22247,1.16841,1.457,221,35881,3,3,8,5,6.0,139,Party ,8,7.364,"Betting and Bluffing
Dice Rolling
Roll / Spin and Move
Track Movement
",Unknown,Family ,47,7.30171,,,
T.I.M.E Stories ,262,2015,27038,7.40924,7.22136,1.72748,2.5955,576,63118,21,2,4,4,4.0,366,Thematic,72,7.25587,"Cooperative Game
Dice Rolling
Move Through Deck
Narrative Choice / Paragraph
Storytelling
Variable Player Powers
",$47.99,,,,,,
Steam ,263,2009,10108,7.56377,7.22052,1.35391,3.4568,694,20487,6,3,5,4,4.0,126,Strategy ,173,7.30606,"Auction/Bidding
Loans
Network and Route Building
Ownership
Pick-up and Deliver
Tile Placement
",$29.99,,,,,,
Viticulture ,264,2013,13126,7.51076,7.22034,1.43617,2.9327,446,35990,2,2,5,3,4.0,147,Strategy ,192,7.27485,"Contracts
Hand Management
Income
Turn Order: Progressive
Worker Placement
",$48.62,,,,,,
Darwin's Journey ,265,2023,3675,8.22406,7.21807,1.29811,3.8381,278,11512,0,1,4,3,3.0,151,Strategy ,131,7.4117,"Contracts
Ownership
Point to Point Movement
Set Collection
Turn Order: Stat-Based
Variable Set-up
",Unknown,,,,,,
Clank!: Catacombs ,266,2022,3181,8.34179,7.21807,1.12646,2.5278,72,11986,1,1,4,3,3.0,58,Strategy ,134,7.40119,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Movement Points
Open Drafting
Player Elimination
",$49.99,Family ,26,7.4271,,,
Revive ,267,2022,3673,8.19762,7.21795,1.18576,3.4,210,12928,2,1,4,3,3.0,131,Strategy ,128,7.41578,"Deck, Bag, and Pool Building
Scenario / Mission / Campaign Game
Tech Trees / Tech Tracks
Variable Player Powers
",Unknown,,,,,,
Vindication ,268,2018,6674,7.80008,7.21552,1.41446,3.0759,224,17973,4,2,5,4,4.0,121,Strategy ,169,7.3217,"Area Majority / Influence
Dice Rolling
End Game Bonuses
Hexagon Grid
Map Addition
Modular Board
",$129.99,,,,,,
Western Legends ,269,2018,10342,7.61306,7.215,1.40353,2.8308,260,20918,5,3,5,4,4.0,223,Thematic,58,7.3254,"Action Points
Area Movement
Betting and Bluffing
Card Play Conflict Resolution
Dice Rolling
End Game Bonuses
",$169.00,,,,,,
Endless Winter: Paleoamericans ,270,2022,6479,7.81724,7.21286,1.34861,3.2762,344,17571,2,1,4,3,3.0,202,Strategy ,167,7.32789,"Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Modular Board
",$369.99,,,,,,
Lewis & Clark: The Expedition ,271,2013,15181,7.45492,7.21276,1.29547,3.3333,741,39131,13,1,4,3,3.0,348,Strategy ,196,7.26258,"Action Retrieval
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
Race
",Unknown,,,,,,
Tapestry ,272,2019,18892,7.44478,7.21264,1.62273,2.9254,710,94005,8,1,4,3,3.0,388,Strategy ,207,7.23458,"Area Majority / Influence
Contracts
Dice Rolling
Events
Grid Coverage
Hand Management
",$70.97,,,,,,
Clash of Cultures: Monumental Edition ,273,2021,3125,8.39937,7.21261,1.33522,3.65,160,7297,0,2,4,3,4.0,95,Strategy ,126,7.42081,"Action Points
Dice Rolling
Grid Movement
Hand Management
Modular Board
Trading
",$94.00,,,,,,
Bora Bora ,274,2013,10044,7.55994,7.20778,1.34045,3.7327,636,25068,4,2,4,4,4.0,226,Strategy ,182,7.29163,"Dice Rolling
Set Collection
Worker Placement
Worker Placement with Dice Workers
",Unknown,,,,,,
Arcadia Quest ,275,2014,10264,7.62283,7.20091,1.50403,2.5318,346,27280,1,2,4,4,4.0,182,Thematic,59,7.30436,"Action Retrieval
Dice Rolling
Grid Movement
Line of Sight
Modular Board
Scenario / Mission / Campaign Game
",$79.99,,,,,,
7 Wonders (Second Edition) ,276,2020,5938,7.87582,7.19935,1.26916,2.2958,213,26187,0,3,7,4,5.0,120,Strategy ,202,7.25448,"Closed Drafting
Hand Management
Neighbor Scope
Set Collection
Simultaneous Action Selection
Variable Player Powers
",$49.99,Family ,42,7.32146,,,
Kingdomino ,277,2016,44793,7.31697,7.19922,1.1254,1.2204,998,347358,25,2,4,2,2.0,651,Family ,57,7.21342,"Open Drafting
Tile Placement
Turn Order: Stat-Based
",$15.39,,,,,,
Rococo ,278,2013,8771,7.58483,7.19263,1.16233,3.0856,432,19906,5,2,5,3,3.0,166,Strategy ,185,7.2856,"Action Retrieval
Area Majority / Influence
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",Unknown,,,,,,
Battle Line ,279,2000,17127,7.41354,7.19252,1.26432,1.8941,1209,97017,0,2,2,2,2.0,186,Strategy ,214,7.22129,"Card Play Conflict Resolution
Hand Management
Melding and Splaying
",$18.88,,,,,,
Forgotten Waters ,280,2020,5464,7.85854,7.19216,1.39671,2.1121,107,11776,9,2,7,5,5.0,135,Thematic,44,7.43923,"Dice Rolling
Events
Narrative Choice / Paragraph
Scenario / Mission / Campaign Game
Semi-Cooperative Game
Stat Check Resolution
",$59.99,,,,,,
Seasons ,281,2012,24306,7.35996,7.18748,1.37612,2.7802,969,92948,10,2,3,2,2.0,524,Strategy ,223,7.19976,"Closed Drafting
Dice Rolling
Hand Management
Open Drafting
Take That
Victory Points as a Resource
",$54.99,,,,,,
Dixit: Odyssey ,282,2011,20288,7.40806,7.18742,1.34517,1.1707,615,40553,7,4,12,6,6.0,208,Party ,14,7.25818,"Storytelling
Targeted Clues
Voting
",$29.99,,,,,,
Ethnos ,283,2017,12929,7.46633,7.18547,1.21499,2.0235,255,42257,4,2,6,4,4.0,207,Strategy ,204,7.23993,"Area Majority / Influence
Hand Management
Open Drafting
Push Your Luck
Set Collection
",Unknown,,,,,,
Anno 1800 ,284,2020,6153,7.75436,7.18386,1.16117,3.148,223,19313,4,2,4,3,3.0,135,Strategy ,177,7.30361,"End Game Bonuses
Hand Management
Race
Tech Trees / Tech Tracks
Variable Set-up
",$44.02,,,,,,
The Manhattan Project: Energy Empire ,285,2016,5960,7.75456,7.18196,1.16316,3.0427,164,17754,3,1,5,4,4.0,112,Strategy ,174,7.30594,"Dice Rolling
Die Icon Resolution
End Game Bonuses
Events
Variable Player Powers
Worker Placement
",$109.99,,,,,,
Cryptid ,286,2018,13192,7.45866,7.18023,1.28072,2.2317,259,64448,8,3,5,4,4.0,194,Strategy ,215,7.22116,"Deduction
Hexagon Grid
Modular Board
Pattern Recognition
",$28.04,Family ,54,7.24303,,,
Imperial ,287,2006,8687,7.59793,7.17921,1.51011,3.5645,976,16743,8,3,6,4,4.0,290,Strategy ,189,7.27805,"Advantage Token
Area Majority / Influence
Area Movement
Investment
Ownership
Rondel
",Unknown,,,,,,
Hive ,288,2000,35686,7.31782,7.17898,1.32953,2.3182,1788,193468,7,2,2,2,2.0,311,Abstract ,17,7.14182,"Enclosure
Grid Movement
Hexagon Grid
Pattern Movement
Pieces as Map
Score-and-Reset Game
",$38.99,,,,,,
Power Grid Deluxe: Europe/North America ,289,2014,4329,7.95768,7.17229,1.27059,3.1957,138,6735,0,2,6,4,5.0,52,Strategy ,164,7.33221,"Auction: Turn Order Until Pass
Catch the Leader
Income
Market
Network and Route Building
Turn Order: Stat-Based
",Unknown,,,,,,
Navegador ,290,2010,9056,7.53886,7.17076,1.18137,3.0855,573,20539,7,2,5,4,4.0,202,Strategy ,198,7.26062,"Advantage Token
Area Movement
Market
Rondel
",$135.33,,,,,,
Indonesia ,291,2005,4534,7.88454,7.17028,1.51951,3.9886,440,10709,1,3,5,4,4.0,142,Strategy ,162,7.34264,"Auction/Bidding
Pick-up and Deliver
Tech Trees / Tech Tracks
",Unknown,,,,,,
Dungeon Petz ,292,2011,14545,7.41237,7.16899,1.37063,3.6252,707,27454,6,2,4,4,4.0,221,Thematic,76,7.23462,"Auction/Bidding
Hand Management
Selection Order Bid
Simultaneous Action Selection
Worker Placement
",$40.28,Strategy ,217,7.21172,,,
Marvel United ,293,2020,9024,7.61259,7.16797,1.37038,1.8139,231,65311,6,1,4,3,3.0,158,Family ,55,7.2422,"Cooperative Game
Hand Management
Modular Board
Solo / Solitaire Game
Variable Player Powers
",$9.65,,,,,,
Cthulhu Wars ,294,2015,5782,7.86427,7.16738,1.62451,3.146,274,15816,5,3,4,4,4.0,149,Thematic,50,7.38863,"Action Points
Area Majority / Influence
Area Movement
Dice Rolling
Variable Player Powers
",$199.47,Strategy ,197,7.26148,,,
Dice Throne: Season Two – Battle Chest ,295,2018,4153,8.08881,7.16415,1.36728,2.1389,72,14800,0,2,4,2,2.0,47,Family ,44,7.31121,"Dice Rolling
Take That
Team-Based Game
Variable Player Powers
",$177.83,,,,,,
Star Realms: Frontiers ,296,2018,4716,7.94696,7.16403,1.1811,1.8598,107,27090,1,1,4,2,2.0,83,Strategy ,195,7.26438,"Cooperative Game
Deck, Bag, and Pool Building
Open Drafting
Player Elimination
Solo / Solitaire Game
Take That
",Unknown,,,,,,
Age of Empires III: The Age of Discovery ,297,2007,10202,7.51547,7.16226,1.36561,3.1258,1057,21945,10,3,5,4,5.0,329,Strategy ,205,7.23793,"Area Majority / Influence
Set Collection
Turn Order: Claim Action
Worker Placement
Worker Placement, Different Worker Types
",Unknown,,,,,,
Monikers ,298,2015,5573,7.78027,7.16169,1.46403,1.0833,72,18224,1,4,12,6,6.0,40,Party ,5,7.46656,"Acting
Communication Limits
Open Drafting
Role Playing
Singing
Team-Based Game
",$24.99,,,,,,
Blood on the Clocktower ,299,2022,3729,8.33297,7.16137,2.0217,2.9384,146,30313,5,6,16,8,12.0,125,Party ,2,7.57356,"Betting and Bluffing
Deduction
Hidden Roles
Negotiation
Prisoner's Dilemma
Rock-Paper-Scissors
",Unknown,,,,,,
Telestrations ,300,2009,17062,7.38774,7.15971,1.38231,1.069,435,66382,16,5,8,8,8.0,208,Party ,15,7.24265,"Drawing
Paper-and-Pencil
",$31.99,,,,,,
Space Alert ,301,2008,15849,7.39947,7.15951,1.57493,2.9691,808,63818,10,3,5,4,5.0,347,Thematic,86,7.20753,"Action Queue
Area Movement
Cooperative Game
Elapsed Real Time Ending
Hand Management
Real-Time
",$58.14,,,,,,
Onitama ,302,2014,21003,7.3593,7.1594,1.2397,1.6588,340,101707,6,2,2,2,2.0,131,Abstract ,18,7.13372,"Grid Movement
Hand Management
Pattern Movement
Square Grid
Static Capture
",$29.99,,,,,,
Nemo's War (Second Edition) ,303,2017,5023,7.85892,7.15714,1.34689,3.2658,237,13016,3,1,1,1,1.0,158,Thematic,48,7.41077,"Action Points
Area Majority / Influence
Area Movement
Cooperative Game
Dice Rolling
Push Your Luck
",$49.00,,,,,,
Imperial Settlers ,304,2014,23916,7.32981,7.15409,1.30609,2.7685,894,85036,16,1,4,2,2.0,492,Strategy ,235,7.16821,"Closed Drafting
Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
",$23.95,,,,,,
Fury of Dracula (Third/Fourth Edition) ,305,2015,14095,7.44092,7.15248,1.43887,3.277,343,17401,1,2,5,3,3.0,248,Thematic,81,7.22487,"Card Play Conflict Resolution
Hand Management
Hidden Movement
Point to Point Movement
Resource to Move
Rock-Paper-Scissors
",Unknown,,,,,,
Glass Road ,306,2013,11161,7.45424,7.15188,1.20978,2.9512,553,41492,4,1,4,2,2.0,270,Strategy ,213,7.22626,"Automatic Resource Growth
End Game Bonuses
Follow
Once-Per-Game Abilities
Open Drafting
Set Collection
",$111.00,,,,,,
Oath: Chronicles of Empire and Exile ,307,2021,6090,7.82862,7.14728,1.79552,4.095,516,13618,11,3,5,4,4.0,210,Thematic,85,7.2173,"Action Points
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
Negotiation
",$90.00,Strategy ,209,7.23421,,,
Summoner Wars: Master Set ,308,2011,10932,7.48509,7.14444,1.48561,2.5223,404,31724,3,2,2,2,2.0,112,Customizable,18,7.26335,"Deck Construction
Dice Rolling
Grid Movement
Hand Management
Stat Check Resolution
Variable Player Powers
",$209.99,Strategy ,230,7.18092,,,
Imperial 2030 ,309,2009,6636,7.65556,7.14297,1.47587,3.5038,391,10581,2,3,6,4,4.0,179,Strategy ,200,7.25856,"Area Majority / Influence
Area Movement
Investment
Ownership
Rondel
Stock Holding
",$67.75,,,,,,
Bitoku ,310,2021,4881,7.88228,7.14261,1.33503,3.7276,290,13560,8,1,4,3,3.0,152,Strategy ,191,7.2752,"Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Set Collection
Solo / Solitaire Game
",$59.90,,,,,,
Great Western Trail: Argentina ,311,2022,2418,8.51505,7.14255,1.17531,3.8889,99,7866,0,1,4,3,3.0,59,Strategy ,138,7.39306,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Track Movement
",$55.99,,,,,,
Runewars ,312,2010,8276,7.61494,7.13951,1.5198,3.791,646,11459,5,2,4,4,4.0,242,Thematic,66,7.28632,"Area Majority / Influence
Auction/Bidding
Grid Movement
Hexagon Grid
Modular Board
Simultaneous Action Selection
",Unknown,Strategy ,219,7.20712,,,
Aeon's End: The New Age ,313,2019,2451,8.55819,7.1388,1.2092,2.9298,57,12888,0,1,4,2,2.0,59,Strategy ,154,7.35631,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Variable Phase Order
Variable Player Powers
",$48.90,,,,,,
Alien Frontiers ,314,2010,15059,7.36799,7.13823,1.31588,2.5667,854,41664,5,2,4,3,4.0,312,Strategy ,231,7.17989,"Area Majority / Influence
Dice Rolling
Open Drafting
Worker Placement with Dice Workers
",$96.75,,,,,,
Return to Dark Tower ,315,2022,3333,8.29503,7.13735,1.48898,2.6333,90,10502,7,1,4,4,4.0,69,Thematic,39,7.47992,"Area Movement
Cooperative Game
Events
Push Your Luck
Random Production
Scenario / Mission / Campaign Game
",$299.99,,,,,,
Arkham Horror (Third Edition) ,316,2018,8566,7.69854,7.13669,1.54546,3.3449,287,23166,2,1,4,3,3.0,216,Thematic,70,7.27065,"Cooperative Game
Dice Rolling
Modular Board
Point to Point Movement
Stat Check Resolution
Variable Player Powers
",$55.71,,,,,,
Heaven & Ale ,317,2017,8246,7.54834,7.13628,1.17223,3.2101,276,26683,11,2,4,4,4.0,173,Strategy ,212,7.22904,"Grid Coverage
Highest-Lowest Scoring
Once-Per-Game Abilities
Rondel
Tile Placement
Track Movement
",$114.27,,,,,,
Century: Spice Road ,318,2017,24271,7.31547,7.13617,1.22853,1.7959,588,109324,14,2,5,3,4.0,289,Family ,62,7.16638,"Action Retrieval
Auction: Dutch
Contracts
Deck, Bag, and Pool Building
Hand Management
Increase Value of Unchosen Resources
",$47.10,,,,,,
The King's Dilemma ,319,2019,5266,7.80226,7.13369,1.63387,2.2357,140,36685,7,4,5,5,5.0,130,Thematic,55,7.34784,"Bias
Bribery
End Game Bonuses
Legacy Game
Storytelling
Voting
",$55.30,,,,,,
Tikal ,320,1999,19746,7.32886,7.13354,1.19166,2.7834,1556,37024,6,2,4,4,4.0,322,Strategy ,239,7.16066,"Action Points
Area Majority / Influence
Auction/Bidding
Grid Movement
Hexagon Grid
Layering
",$59.99,,,,,,
Bruges ,321,2013,11460,7.42707,7.13335,1.274,2.7486,549,41824,14,2,4,3,3.0,175,Strategy ,220,7.20197,"Dice Rolling
Hand Management
",Unknown,,,,,,
Kemet: Blood and Sand ,322,2021,3932,8.01702,7.13334,1.31846,3.2261,115,6119,0,2,5,4,4.0,81,Strategy ,186,7.28512,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Hand Management
Open Drafting
",$90.00,,,,,,
Survive: Escape from Atlantis! ,323,1982,25032,7.31562,7.13267,1.1987,1.6967,1022,72335,2,2,4,4,4.0,404,Family ,68,7.15554,"Action Points
Dice Rolling
Grid Movement
Hexagon Grid
Map Reduction
Memory
",$39.99,,,,,,
Antiquity ,324,2004,4366,7.86031,7.13191,1.52755,4.3134,402,8917,1,2,4,2,3.0,103,Strategy ,176,7.30489,"Grid Coverage
Hexagon Grid
Modular Board
Square Grid
Tile Placement
Trading
",Unknown,,,,,,
Exit: The Game – The Abandoned Cabin ,325,2016,11033,7.44007,7.1316,1.32765,2.5482,166,9878,4,1,4,2,2.0,166,Thematic,73,7.25164,"Cooperative Game
",$14.95,,,,,,
Tiny Epic Galaxies ,326,2015,19751,7.34137,7.12956,1.20464,2.1522,506,66566,3,1,4,3,3.0,293,Strategy ,263,7.12874,"Contracts
Dice Rolling
End Game Bonuses
Follow
Open Drafting
Re-rolling and Locking
",$23.99,,,,,,
Love Letter ,327,2012,65461,7.22461,7.12851,1.3476,1.1865,2794,354930,26,3,4,4,4.0,1076,Family ,79,7.11832,"Deduction
Hand Management
Player Elimination
Score-and-Reset Game
Take That
",$19.78,,,,,,
Bunny Kingdom ,328,2017,11740,7.43996,7.12598,1.23748,2.3077,234,46793,4,2,4,4,4.0,192,Family ,58,7.19843,"Area Majority / Influence
Closed Drafting
End Game Bonuses
Grid Coverage
Square Grid
",$57.43,,,,,,
For Sale ,329,1997,29487,7.24792,7.12593,1.15629,1.2537,1687,184854,2,3,6,5,5.0,416,Family ,67,7.15707,"Auction/Bidding
Auction: Sealed Bid
Auction: Turn Order Until Pass
Hand Management
Selection Order Bid
",$26.59,,,,,,
Lost Cities ,330,1999,44559,7.22496,7.12432,1.26713,1.481,3085,331956,8,2,2,2,2.0,415,Family ,70,7.14114,"Hand Management
Melding and Splaying
Ordering
Push Your Luck
Score-and-Reset Game
Set Collection
",$22.59,,,,,,
Burgle Bros. ,331,2015,10938,7.45083,7.1239,1.19429,2.3145,283,40615,5,1,4,3,3.0,195,Thematic,89,7.19084,"Action Points
Cooperative Game
Dice Rolling
Grid Movement
Map Addition
Modular Board
",Unknown,Family ,59,7.18998,,,
Acquire ,332,1964,19816,7.33416,7.12287,1.33827,2.5,1648,42050,2,3,6,4,4.0,349,Strategy ,253,7.13704,"Hand Management
Investment
Market
Square Grid
Stock Holding
Tile Placement
",$48.33,,,,,,
Destinies ,333,2021,7275,7.77423,7.1227,1.52696,1.8966,203,17529,10,1,3,2,2.0,163,Thematic,67,7.28324,"Dice Rolling
Map Addition
Role Playing
Solo / Solitaire Game
Storytelling
Tile Placement
",$46.99,,,,,,
Dead of Winter: The Long Night ,334,2016,9606,7.5445,7.12249,1.39239,3.3568,185,10654,3,3,5,4,4.0,112,Thematic,77,7.23139,"Action Points
Area Movement
Cooperative Game
Dice Rolling
Hand Management
Push Your Luck
",$45.95,,,,,,
Awkward Guests: The Walton Case ,335,2016,7478,7.59788,7.12208,1.30168,2.3188,160,25277,1,2,6,4,4.0,190,Family ,56,7.22486,"Deduction
Hand Management
Trading
",Unknown,,,,,,
Above and Below ,336,2015,15605,7.37461,7.12003,1.27066,2.5242,414,33956,9,2,4,3,3.0,180,Thematic,105,7.14328,"Action Points
Dice Rolling
Narrative Choice / Paragraph
Set Collection
Storytelling
Trading
",$37.49,,,,,,
Small World ,337,2009,69587,7.21628,7.11811,1.2989,2.3483,3422,159071,30,2,5,4,4.0,1034,Strategy ,291,7.08354,"Area Majority / Influence
Area Movement
Dice Rolling
Hidden Victory Points
Increase Value of Unchosen Resources
Variable Player Powers
",Unknown,Family ,83,7.11088,,,
The Great Zimbabwe ,338,2012,4524,7.82638,7.1173,1.49566,3.688,250,16416,0,2,5,4,4.0,124,Strategy ,187,7.28189,"Auction/Bidding
Mancala
Modular Board
Network and Route Building
Open Drafting
Tile Placement
",$131.01,,,,,,
Lords of Hellas ,339,2018,7042,7.69412,7.11708,1.47938,3.3377,228,12323,2,2,4,4,4.0,146,Strategy ,224,7.19955,"Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Dice Rolling
Hand Management
Open Drafting
",$74.96,,,,,,
Arboretum ,340,2015,19259,7.30777,7.11644,1.24686,2.1416,551,71407,5,2,4,2,2.0,343,Family ,66,7.15767,"Hand Management
Pattern Building
Set Collection
Tile Placement
",$20.00,,,,,,
Bonfire ,341,2020,5911,7.69053,7.1154,1.24585,3.6409,298,19042,5,1,4,3,3.0,151,Strategy ,208,7.23457,"Market
Pattern Building
Point to Point Movement
Set Collection
Solo / Solitaire Game
Tile Placement
",$55.95,,,,,,
Mind MGMT: The Psychic Espionage “Game.” ,342,2021,3862,8.014,7.11338,1.27861,2.898,98,14876,4,1,5,2,3.0,140,Strategy ,194,7.26898,"Deduction
Grid Movement
Hidden Movement
Paper-and-Pencil
Point to Point Movement
Team-Based Game
",$60.00,,,,,,
Nusfjord ,343,2017,6067,7.64526,7.11334,1.19456,2.8406,207,29951,3,1,5,1,1.0,172,Strategy ,211,7.22915,"Worker Placement
",Unknown,,,,,,
Merchants & Marauders ,344,2010,13946,7.3963,7.11131,1.4856,3.2456,847,24667,6,2,4,4,4.0,327,Thematic,92,7.18186,"Action Points
Area Movement
Bias
Dice Rolling
Events
Pick-up and Deliver
",$64.99,,,,,,
Tekhenu: Obelisk of the Sun ,345,2020,5377,7.73661,7.11024,1.31031,4.055,436,15611,2,1,4,3,3.0,167,Strategy ,203,7.24198,"Action Drafting
Income
Open Drafting
Pattern Building
Turn Order: Stat-Based
Variable Set-up
",$89.99,,,,,,
Dungeon Lords ,346,2009,13771,7.36624,7.10971,1.43333,3.5669,949,24740,11,2,4,4,4.0,316,Strategy ,242,7.15908,"Action Queue
Hand Management
Simultaneous Action Selection
Tile Placement
Worker Placement
",$91.60,,,,,,
BattleLore: Second Edition ,347,2013,6268,7.68323,7.10875,1.35667,2.702,302,13625,4,2,2,2,2.0,80,War ,59,7.35849,"Campaign / Battle Card Driven
Command Cards
Dice Rolling
Grid Movement
Modular Board
Secret Unit Deployment
",Unknown,,,,,,
