Title,Link,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,MinPlayTime,MaxPlayTime,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Gaia Project ,https://boardgamegeek.com/boardgame/220308/gaia-project,12,2017,25713,8.39543,8.13003,1.40728,4.3978,1604,98785,14,1,4,3,4.0,671,60,150,Strategy ,8,8.17208,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",$94.99,,,,,,
Twilight Struggle ,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2005,47557,8.25193,8.07727,1.57922,3.605,3871,123419,13,2,2,2,2.0,871,120,180,War ,2,8.19326,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",$59.48,Strategy ,13,8.06237,,,
Through the Ages: A New Story of Civilization ,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,14,2015,30502,8.30452,8.07523,1.51758,4.4361,1509,123579,3,2,4,3,3.0,690,120,120,Strategy ,11,8.10507,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",$69.95,,,,,,
Great Western Trail ,https://boardgamegeek.com/boardgame/193738/great-western-trail,15,2016,39530,8.21476,8.05049,1.30619,3.7057,1539,136954,31,2,4,3,3.0,846,75,150,Strategy ,12,8.06964,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",$59.99,,,,,,
The Castles of Burgundy ,https://boardgamegeek.com/boardgame/84876/castles-burgundy,16,2011,59648,8.13296,8.00801,1.24288,2.9863,2850,318637,14,2,4,2,2.0,1457,30,90,Strategy ,16,8.00751,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",$49.71,,,,,,
Scythe ,https://boardgamegeek.com/boardgame/169786/scythe,17,2016,79541,8.15917,8.00646,1.44448,3.4419,3109,282141,33,1,5,4,4.0,1417,90,115,Strategy ,19,7.97776,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",$67.33,,,,,,
7 Wonders Duel ,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,18,2015,88965,8.0963,7.97236,1.19163,2.2273,2781,461903,24,2,2,2,2.0,1206,30,30,Strategy ,22,7.93729,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",$21.99,,,,,,
Eclipse: Second Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-galaxy,19,2020,11980,8.48404,7.96941,1.36722,3.6609,407,21790,4,2,6,4,4.0,264,60,200,Strategy ,14,8.05088,"Alliances
Area Majority / Influence
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
",$178.70,,,,,,
Brass: Lancashire ,https://boardgamegeek.com/boardgame/28720/brass-lancashire,20,2007,24117,8.18998,7.96319,1.37146,3.8582,1622,72611,7,2,4,4,4.0,584,60,120,Strategy ,15,8.01099,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",$78.99,,,,,,
Nemesis ,https://boardgamegeek.com/boardgame/167355/nemesis,21,2018,28129,8.2821,7.9587,1.5183,3.4488,1005,63648,11,1,5,4,5.0,656,90,180,Thematic,11,7.96709,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",$190.89,,,,,,
A Feast for Odin ,https://boardgamegeek.com/boardgame/177736/feast-odin,22,2016,26776,8.17765,7.94831,1.36519,3.8621,957,96536,9,1,4,3,3.0,548,30,120,Strategy ,18,7.97981,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",$99.99,,,,,,
Concordia ,https://boardgamegeek.com/boardgame/124361/concordia,23,2013,38761,8.09815,7.94866,1.19703,2.9948,1538,125926,11,2,5,4,4.0,652,100,100,Strategy ,20,7.96722,"Action Retrieval
Advantage Token
Auction: Dutch
End Game Bonuses
Hand Management
Hidden Victory Points
",$51.97,,,,,,
Clank! Legacy: Acquisitions Incorporated ,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,24,2019,8661,8.5607,7.94861,1.41742,2.7109,128,50214,3,2,4,4,4.0,116,90,120,Thematic,7,8.14533,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",$89.99,,,,,,
Wingspan ,https://boardgamegeek.com/boardgame/266192/wingspan,25,2019,85211,8.06394,7.916,1.35524,2.4575,2822,569606,42,1,4,3,3.0,1663,40,70,Strategy ,34,7.85494,"Contracts
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",$44.99,Family ,2,7.93002,,,
Terra Mystica ,https://boardgamegeek.com/boardgame/120677/terra-mystica,26,2012,46793,8.07552,7.91204,1.47204,3.9727,2892,155517,29,2,5,4,4.0,1009,60,150,Strategy ,23,7.9204,"Area Majority / Influence
Chaining
End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
",$59.97,,,,,,
Arkham Horror: The Card Game ,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,27,2016,41248,8.13647,7.90642,1.53973,3.5287,1358,283053,15,1,2,2,2.0,961,60,120,Customizable,1,8.0787,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",$23.88,Thematic,13,7.9251,,,
Lost Ruins of Arnak ,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak,28,2020,39079,8.08009,7.89447,1.23183,2.9054,1248,181521,35,1,4,3,3.0,749,30,120,Strategy ,27,7.89313,"Contracts
Deck, Bag, and Pool Building
Market
Multi-Use Cards
Once-Per-Game Abilities
Resource to Move
",$39.99,Family ,3,7.92293,,,
Root ,https://boardgamegeek.com/boardgame/237182/root,29,2018,46928,8.07629,7.88416,1.45628,3.7829,1907,157883,35,3,4,4,4.0,1027,60,90,War ,12,7.74278,"Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
",$52.99,Strategy ,32,7.86023,,,
Great Western Trail: Second Edition ,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,30,2021,10365,8.37931,7.8797,1.28537,3.721,319,34256,0,1,4,3,3.0,194,75,150,Strategy ,17,7.98205,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Tags
",$50.00,,,,,,
Orléans ,https://boardgamegeek.com/boardgame/164928/orleans,31,2014,30034,8.06213,7.87601,1.16475,3.0256,1015,92636,18,2,4,4,4.0,404,90,90,Strategy ,25,7.90508,"Contracts
Deck, Bag, and Pool Building
End Game Bonuses
Events
Point to Point Movement
Simultaneous Action Selection
",$54.28,,,,,,
Everdell ,https://boardgamegeek.com/boardgame/199792/everdell,32,2018,49312,8.04124,7.8585,1.2931,2.8103,1455,192245,21,1,4,3,3.0,834,40,80,Strategy ,38,7.82507,"Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
",$48.00,Family ,4,7.86976,,,
Mage Knight Board Game ,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,33,2011,32558,8.08588,7.8584,1.63526,4.3552,2658,74449,12,1,3,1,2.0,1256,60,240,Thematic,15,7.8476,"Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",$59.99,Strategy ,33,7.85696,,,
Viticulture Essential Edition ,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,34,2015,46146,8.00102,7.85085,1.27036,2.8905,1351,158086,1,1,5,3,4.0,751,45,90,Strategy ,37,7.84301,"Contracts
Hand Management
Solo / Solitaire Game
Turn Order: Auction
Victory Points as a Resource
Worker Placement
",$48.63,,,,,,
Barrage ,https://boardgamegeek.com/boardgame/251247/barrage,35,2019,16140,8.17951,7.84923,1.42171,4.0985,924,49085,25,2,4,4,4.0,443,60,120,Strategy ,24,7.91478,"Action Retrieval
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
",Unknown,,,,,,
The Crew: Mission Deep Sea ,https://boardgamegeek.com/boardgame/324856/crew-mission-deep-sea,36,2021,14485,8.19445,7.84705,1.27195,2.0425,259,175482,5,3,5,4,4.0,193,20,20,Family ,1,7.93664,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.99,,,,,,
Too Many Bones ,https://boardgamegeek.com/boardgame/192135/too-many-bones,37,2017,11819,8.34922,7.83752,1.54869,3.8512,457,54906,4,1,4,3,3.0,324,60,120,Thematic,10,7.97057,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Grid Movement
Hand Management
",Unknown,Strategy ,26,7.90234,,,
Food Chain Magnate ,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,38,2015,19383,8.07711,7.8153,1.59562,4.2058,933,48354,12,2,5,3,4.0,335,120,240,Strategy ,31,7.86534,"Deck, Bag, and Pool Building
Delayed Purchase
Income
Market
Modular Board
Open Drafting
",$104.00,,,,,,
Pax Pamir: Second Edition ,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,39,2019,12471,8.22636,7.8022,1.50035,3.8404,614,44036,16,1,5,4,4.0,444,45,120,Strategy ,29,7.87492,"Action Points
Area Majority / Influence
Area Movement
Auction: Dutch
Hand Management
Increase Value of Unchosen Resources
",$79.61,,,,,,
Marvel Champions: The Card Game ,https://boardgamegeek.com/boardgame/285774/marvel-champions-card-game,40,2019,21965,8.12883,7.79846,1.45947,2.9168,685,425569,12,1,3,1,2.0,704,45,90,Customizable,3,7.81697,"Cooperative Game
Deck Construction
Hand Management
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Turn Order: Progressive
",$33.49,,,,,,
Underwater Cities ,https://boardgamegeek.com/boardgame/247763/underwater-cities,41,2018,18200,8.07502,7.79144,1.18995,3.6043,657,67378,15,1,3,2,2.0,541,80,150,Strategy ,35,7.84972,"End Game Bonuses
Hand Management
Income
Network and Route Building
Solo / Solitaire Game
Turn Order: Claim Action
",$59.50,,,,,,
Puerto Rico ,https://boardgamegeek.com/boardgame/3076/puerto-rico,42,2002,69888,7.92511,7.78781,1.39221,3.2714,6194,190786,19,2,5,4,4.0,1550,90,150,Strategy ,44,7.77519,"Action Drafting
End Game Bonuses
Follow
Hidden Victory Points
Increase Value of Unchosen Resources
Turn Order: Progressive
",Unknown,,,,,,
Caverna: The Cave Farmers ,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,43,2013,33829,7.95523,7.77489,1.3437,3.7807,1628,79455,14,1,5,4,4.0,540,30,210,Strategy ,41,7.79126,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement
",$67.60,,,,,,
Blood Rage ,https://boardgamegeek.com/boardgame/170216/blood-rage,44,2015,45265,7.94,7.76841,1.41467,2.8747,1468,95445,19,3,4,4,4.0,921,60,90,Strategy ,46,7.75195,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Closed Drafting
Hand Management
",$89.99,,,,,,
Cascadia ,https://boardgamegeek.com/boardgame/295947/cascadia,45,2021,31440,7.96475,7.76452,1.11481,1.8357,907,182412,23,1,4,2,3.0,555,30,45,Abstract ,1,7.73546,"End Game Bonuses
Hexagon Grid
Open Drafting
Pattern Building
Solo / Solitaire Game
Tile Placement
",$29.99,Family ,6,7.79941,,,
Anachrony ,https://boardgamegeek.com/boardgame/185343/anachrony,46,2017,17603,8.08278,7.76086,1.39586,4.0199,956,42611,9,1,4,3,3.0,343,30,120,Strategy ,40,7.81276,"Dice Rolling
Solo / Solitaire Game
Turn Order: Claim Action
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",Unknown,,,,,,
Agricola ,https://boardgamegeek.com/boardgame/31260/agricola,47,2007,71372,7.88358,7.75989,1.5504,3.6372,6279,271386,36,1,5,3,4.0,1945,30,150,Strategy ,47,7.74689,"Automatic Resource Growth
Closed Drafting
Enclosure
Hand Management
Increase Value of Unchosen Resources
Solo / Solitaire Game
",$64.40,,,,,,
Frosthaven ,https://boardgamegeek.com/boardgame/295770/frosthaven,48,2022,5536,8.86077,7.76626,2.1246,4.3354,319,44254,1,1,4,3,3.0,174,30,120,Thematic,8,8.11854,"Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Deck Construction
Deck, Bag, and Pool Building
Grid Movement
",$209.08,Strategy ,21,7.94604,,,
On Mars ,https://boardgamegeek.com/boardgame/184267/mars,49,2020,11722,8.20876,7.76053,1.50737,4.6741,1473,29546,16,1,4,3,3.0,361,90,150,Strategy ,36,7.84485,"Contracts
Delayed Purchase
End Game Bonuses
Hexagon Grid
Income
Movement Points
",$112.49,,,,,,
Crokinole ,https://boardgamegeek.com/boardgame/521/crokinole,50,1876,16969,8.0162,7.74707,1.6116,1.2353,663,192866,0,2,2,2,2.0,245,30,30,Family ,5,7.80304,"Flicking
Team-Based Game
",$170.00,,,,,,
Sleeping Gods ,https://boardgamegeek.com/boardgame/255984/sleeping-gods,51,2021,10053,8.26865,7.73677,1.45743,3.2321,349,31323,17,1,3,2,2.0,292,60,1200,Thematic,14,7.87156,"Action Points
Cooperative Game
Events
Hand Management
Narrative Choice / Paragraph
Push Your Luck
",$92.64,,,,,,
Pandemic Legacy: Season 0 ,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0,52,2020,6895,8.42251,7.7385,1.5525,3.1471,136,51213,5,2,4,4,4.0,112,45,60,Thematic,9,7.99491,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$69.90,Strategy ,30,7.87164,,,
Pandemic Legacy: Season 2 ,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,53,2017,16295,8.04433,7.73469,1.68857,3.2542,299,116692,10,2,4,4,4.0,220,60,60,Thematic,16,7.8474,"Action Points
Cooperative Game
Hand Management
Legacy Game
Pick-up and Deliver
Point to Point Movement
",$53.99,Strategy ,43,7.78093,,,
Kanban EV ,https://boardgamegeek.com/boardgame/284378/kanban-ev,54,2020,6745,8.4396,7.73724,1.29857,4.3077,403,16239,8,1,4,3,3.0,155,60,180,Strategy ,28,7.88604,"Action Points
Hand Management
Variable Phase Order
Worker Placement
",$124.98,,,,,,
Mansions of Madness: Second Edition ,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,55,2016,34806,7.9584,7.72486,1.50206,2.6733,704,87238,9,1,5,3,4.0,440,120,180,Thematic,20,7.75733,"Area Movement
Cooperative Game
Dice Rolling
Hand Management
Map Addition
Modular Board
",$88.10,,,,,,
Heat: Pedal to the Metal ,https://boardgamegeek.com/boardgame/366013/heat-pedal-metal,56,2022,14531,8.1053,7.72913,1.30963,2.1755,433,66744,13,1,6,5,6.0,392,30,60,Family ,7,7.79013,"Catch the Leader
Hand Management
Race
Simulation
Simultaneous Action Selection
Solo / Solitaire Game
",$128.99,,,,,,
Maracaibo ,https://boardgamegeek.com/boardgame/276025/maracaibo,57,2019,15070,8.05438,7.72272,1.27897,3.9037,758,52758,13,1,4,3,3.0,367,30,120,Strategy ,42,7.78858,"Contracts
End Game Bonuses
Events
Hand Management
Income
Movement Points
",$64.26,,,,,,
Lisboa ,https://boardgamegeek.com/boardgame/161533/lisboa,58,2017,10429,8.1957,7.7214,1.45955,4.5912,976,25575,21,1,4,3,3.0,274,60,120,Strategy ,39,7.82162,"Area Majority / Influence
Hand Management
Open Drafting
Solo / Solitaire Game
Tile Placement
",$126.95,,,,,,
Tzolk'in: The Mayan Calendar ,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,59,2012,38065,7.86642,7.71233,1.26256,3.6689,1921,114719,26,2,4,4,4.0,585,90,90,Strategy ,50,7.73031,"Bias
End Game Bonuses
Turn Order: Claim Action
Worker Placement
",$59.95,,,,,,
Power Grid ,https://boardgamegeek.com/boardgame/2651/power-grid,60,2004,63991,7.81784,7.70872,1.3336,3.2561,4932,149593,20,3,6,4,5.0,1271,120,120,Strategy ,54,7.70531,"Auction: Turn Order Until Pass
Auction/Bidding
Catch the Leader
Income
Market
Network and Route Building
",$42.80,,,,,,
Clans of Caledonia ,https://boardgamegeek.com/boardgame/216132/clans-caledonia,61,2017,19755,7.94736,7.6899,1.18325,3.4575,776,66896,14,1,4,4,4.0,395,30,120,Strategy ,49,7.73623,"Commodity Speculation
Contracts
Market
Modular Board
Network and Route Building
Solo / Solitaire Game
",Unknown,,,,,,
The Quacks of Quedlinburg ,https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg,62,2018,45473,7.83241,7.68892,1.23837,1.946,1093,218114,25,2,4,4,4.0,612,45,45,Family ,8,7.71677,"Catch the Leader
Deck, Bag, and Pool Building
Delayed Purchase
Dice Rolling
Events
Market
",$39.99,,,,,,
Paladins of the West Kingdom ,https://boardgamegeek.com/boardgame/266810/paladins-west-kingdom,63,2019,16561,7.99393,7.68614,1.23691,3.7195,745,48200,7,1,3,2,2.0,477,90,120,Strategy ,48,7.73986,"End Game Bonuses
Market
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types
",$51.09,,,,,,
Le Havre ,https://boardgamegeek.com/boardgame/35677/le-havre,64,2008,30874,7.85099,7.68608,1.41384,3.7233,2024,81185,21,1,4,3,3.0,842,30,150,Strategy ,53,7.71434,"Automatic Resource Growth
End Game Bonuses
Increase Value of Unchosen Resources
Loans
Ownership
Solo / Solitaire Game
",Unknown,,,,,,
The Crew: The Quest for Planet Nine ,https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,65,2019,38836,7.83046,7.68377,1.30412,1.9601,776,525678,37,3,5,4,4.0,651,20,20,Strategy ,57,7.68735,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.99,Family ,9,7.71283,,,
Star Wars: Imperial Assault ,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,66,2014,24117,7.96976,7.68212,1.41826,3.304,908,89673,13,2,5,2,2.0,402,60,120,Thematic,23,7.72023,"Dice Rolling
Die Icon Resolution
Grid Movement
Line of Sight
Modular Board
Role Playing
",$103.19,,,,,,
The Gallerist ,https://boardgamegeek.com/boardgame/125153/gallerist,67,2015,13918,8.02882,7.68181,1.35302,4.2555,912,32915,11,1,4,3,4.0,302,60,150,Strategy ,45,7.75519,"Area Majority / Influence
Commodity Speculation
Contracts
Investment
Open Drafting
Point to Point Movement
",$116.95,,,,,,
Mechs vs. Minions ,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,68,2016,17054,7.97799,7.67173,1.35112,2.4327,312,62305,14,2,4,4,4.0,246,60,120,Thematic,21,7.74893,"Action Queue
Bias
Cooperative Game
Dice Rolling
Modular Board
Open Drafting
",Unknown,Strategy ,56,7.70213,,,
Grand Austria Hotel ,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,69,2015,19493,7.92992,7.67145,1.25939,3.2181,761,88465,6,2,3,2,2.0,673,60,120,Strategy ,52,7.71602,"Action Drafting
Contracts
Dice Rolling
End Game Bonuses
Hand Management
Set Collection
",$64.99,,,,,,
Cthulhu: Death May Die ,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die,70,2019,10787,8.17358,7.6663,1.39809,2.4349,315,40716,7,1,4,3,3.0,243,90,120,Thematic,19,7.81006,"Action Points
Cooperative Game
Dice Rolling
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Variable Player Powers
",$76.99,,,,,,
Android: Netrunner ,https://boardgamegeek.com/boardgame/124742/android-netrunner,71,2012,29663,7.87856,7.65992,1.6636,3.4029,1648,336593,12,2,2,2,2.0,406,45,45,Customizable,5,7.77308,"Action Points
Deck Construction
Hand Management
Race
Secret Unit Deployment
Take That
",$199.95,,,,,,
Kingdom Death: Monster ,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,72,2015,9354,8.50509,7.65946,2.01437,4.2649,589,47803,6,1,4,4,4.0,339,60,180,Thematic,17,7.83605,"Cooperative Game
Critical Hits and Failures
Dice Rolling
Grid Movement
Role Playing
Solo / Solitaire Game
",$849.00,,,,,,
Azul ,https://boardgamegeek.com/boardgame/230802/azul,73,2017,84092,7.75805,7.64759,1.15352,1.7604,2233,601207,47,2,4,2,2.0,1430,30,45,Abstract ,2,7.6613,"End Game Bonuses
Open Drafting
Pattern Building
Tile Placement
Turn Order: Claim Action
",$20.00,Family ,10,7.65609,,,
Race for the Galaxy ,https://boardgamegeek.com/boardgame/28143/race-galaxy,74,2007,54182,7.74613,7.63345,1.4704,2.9903,3697,676673,16,2,4,2,2.0,1199,30,60,Strategy ,66,7.63502,"Follow
Hand Management
Income
Market
Multi-Use Cards
Set Collection
",$27.43,,,,,,
Agricola (Revised Edition) ,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition,75,2016,16599,7.95979,7.63363,1.42928,3.4654,563,47995,0,1,4,3,4.0,273,30,120,Strategy ,59,7.6725,"Enclosure
Hand Management
Worker Placement
Advantage Token
Automatic Resource Growth
Closed Drafting
",$64.40,,,,,,
Eclipse: New Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-galaxy,76,2011,28110,7.83867,7.62949,1.50477,3.703,1946,53878,21,2,6,4,4.0,622,60,180,Strategy ,65,7.63999,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Unknown,,,,,,
Five Tribes ,https://boardgamegeek.com/boardgame/157354/five-tribes,77,2014,40299,7.77637,7.62847,1.26927,2.8519,1479,115883,20,2,4,2,2.0,856,40,80,Strategy ,68,7.62964,"Auction/Bidding
Constrained Bidding
End Game Bonuses
Hidden Victory Points
Mancala
Modular Board
",Unknown,,,,,,
Aeon's End ,https://boardgamegeek.com/boardgame/191189/aeons-end,78,2016,19318,7.91998,7.62726,1.35716,2.8054,555,104079,8,1,4,2,2.0,551,60,60,Strategy ,63,7.64099,"Chit-Pull System
Cooperative Game
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",$52.94,,,,,,
Clank!: A Deck-Building Adventure ,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,79,2016,40365,7.78569,7.62535,1.20337,2.2256,891,141244,16,2,4,3,3.0,624,30,60,Strategy ,74,7.60786,"Action Points
Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Movement Points
Open Drafting
",$59.20,Family ,11,7.63854,,,
Obsession ,https://boardgamegeek.com/boardgame/231733/obsession,80,2018,9288,8.15901,7.6272,1.34568,3.1196,326,42479,1,1,4,2,2.0,243,30,90,Thematic,22,7.72924,"Action Retrieval
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game
Worker Placement
",Unknown,Strategy ,51,7.72252,,,
Fields of Arle ,https://boardgamegeek.com/boardgame/159675/fields-arle,81,2014,10515,8.03435,7.60897,1.29385,3.8566,530,32226,7,1,2,2,2.0,215,60,120,Strategy ,55,7.70499,"Automatic Resource Growth
Highest-Lowest Scoring
Income
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
",$83.19,,,,,,
