Title,Link,Rank,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Category_1,RankCategory_1,ScoreCategory_1,Category_2,RankCategory_2,ScoreCategory_2,Mechanics,AmazonPrice
Spirit Island ,https://boardgamegeek.com/boardgame/162886/spirit-island,11,2017,47079,8.35041,8.14985,1.50336,4.0602,2608,269635,16,1,4,2,2,1606,90,120,Strategy ,10,8.13418,,,,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",$71.67 
Gaia Project ,https://boardgamegeek.com/boardgame/220308/gaia-project,12,2017,25638,8.39597,8.13079,1.40798,4.3966,1601,98349,14,1,4,3,4,671,60,150,Strategy ,8,8.17304,,,,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",$83.99 
Twilight Struggle ,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2005,47517,8.25143,8.07685,1.57988,3.6047,3868,123306,13,2,2,2,2,871,120,180,War ,2,8.19312,Strategy ,13,8.06196,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",$56.88 
Through the Ages: A New Story of Civilization ,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,14,2015,30447,8.30442,8.07529,1.5179,4.4338,1503,123178,3,2,4,3,3,690,120,120,Strategy ,11,8.10516,,,,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",$69.95 
Great Western Trail ,https://boardgamegeek.com/boardgame/193738/great-western-trail,15,2016,39442,8.21635,8.05182,1.30575,3.7057,1536,136726,31,2,4,3,3,845,75,150,Strategy ,12,8.07108,,,,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",$65.95 
The Castles of Burgundy ,https://boardgamegeek.com/boardgame/84876/castles-burgundy,16,2011,59532,8.13271,8.00794,1.24266,2.9856,2843,317386,14,2,4,2,2,1456,30,90,Strategy ,16,8.0074,,,,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",$87.07 
Scythe ,https://boardgamegeek.com/boardgame/169786/scythe,17,2016,79377,8.15982,8.00706,1.44453,3.4415,3105,281621,33,1,5,4,4,1417,90,115,Strategy ,19,7.97847,,,,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",$67.33 
7 Wonders Duel ,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,18,2015,88722,8.09634,7.97246,1.19165,2.2274,2775,459630,24,2,2,2,2,1203,30,30,Strategy ,22,7.93761,,,,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",$21.99 
Eclipse: Second Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-galaxy,19,2020,11918,8.48422,7.9684,1.36814,3.6626,406,21652,4,2,6,4,4,263,60,200,Strategy ,14,8.05027,,,,"Alliances
Area Majority / Influence
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
",$171.70 
Brass: Lancashire ,https://boardgamegeek.com/boardgame/28720/brass-lancashire,20,2007,24069,8.19034,7.96375,1.36991,3.858,1620,72486,7,2,4,4,4,583,60,120,Strategy ,15,8.01161,,,,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",$76.99 
Nemesis ,https://boardgamegeek.com/boardgame/167355/nemesis,21,2018,28039,8.28274,7.95888,1.51898,3.4476,1001,63299,11,1,5,4,5,653,90,180,Thematic,11,7.9677,,,,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",$193.00 
A Feast for Odin ,https://boardgamegeek.com/boardgame/177736/feast-odin,22,2016,26695,8.17858,7.94864,1.36466,3.8604,953,96194,9,1,4,3,3,547,30,120,Strategy ,18,7.98035,,,,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",$99.99 
Concordia ,https://boardgamegeek.com/boardgame/124361/concordia,23,2013,38681,8.0981,7.94839,1.19677,2.9967,1532,125662,11,2,5,4,4,652,100,100,Strategy ,20,7.96709,,,,"Action Retrieval
Advantage Token
Auction: Dutch
End Game Bonuses
Hand Management
Hidden Victory Points
",$49.99 
Clank! Legacy: Acquisitions Incorporated ,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,24,2019,8621,8.56131,7.94765,1.41771,2.7109,128,50036,3,2,4,4,4,115,90,120,Thematic,7,8.1445,,,,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",$89.99 
Wingspan ,https://boardgamegeek.com/boardgame/266192/wingspan,25,2019,84877,8.06449,7.9166,1.35564,2.4575,2811,566934,42,1,4,3,3,1661,40,70,Strategy ,34,7.85542,Family ,2,7.93059,"Contracts
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",$44.99 
Terra Mystica ,https://boardgamegeek.com/boardgame/120677/terra-mystica,26,2012,46750,8.07627,7.91267,1.47187,3.973,2887,155328,29,2,5,4,4,1009,60,150,Strategy ,23,7.92108,,,,"Area Majority / Influence
Chaining
End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
",$59.97 
Arkham Horror: The Card Game ,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,27,2016,41165,8.13714,7.90695,1.53906,3.5285,1353,282120,15,1,2,2,2,959,60,120,Customizable,1,8.07948,Thematic,13,7.92498,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",$23.88 
Lost Ruins of Arnak ,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak,28,2020,38843,8.07972,7.89365,1.23208,2.9049,1241,180071,35,1,4,3,3,745,30,120,Strategy ,27,7.89246,,,,"Contracts
Deck, Bag, and Pool Building
Market
Multi-Use Cards
Once-Per-Game Abilities
Resource to Move
",$39.99 
Root ,https://boardgamegeek.com/boardgame/237182/root,29,2018,46778,8.07605,7.8843,1.45599,3.7818,1902,157043,35,3,4,4,4,1024,60,90,War ,12,7.74235,Strategy ,32,7.86028,"Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
",$49.99 
Great Western Trail: Second Edition ,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,30,2021,10240,8.38296,7.88027,1.28389,3.7201,318,33902,0,1,4,3,3,193,75,150,Strategy ,17,7.98402,,,,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Tags
",$50.00 
Orléans ,https://boardgamegeek.com/boardgame/164928/orleans,31,2014,29967,8.06254,7.87617,1.16432,3.0267,1012,92425,18,2,4,4,4,401,90,90,Strategy ,25,7.90538,,,,"Contracts
Deck, Bag, and Pool Building
End Game Bonuses
Events
Point to Point Movement
Simultaneous Action Selection
",$54.28 
Everdell ,https://boardgamegeek.com/boardgame/199792/everdell,32,2018,49079,8.04233,7.85974,1.29296,2.8095,1449,191400,21,1,4,3,3,830,40,80,Strategy ,38,7.82606,Family ,3,7.87083,"Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
",$60.00 
Mage Knight Board Game ,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,33,2011,32521,8.08598,7.85855,1.63567,4.3548,2655,74360,12,1,3,1,2,1254,60,240,Thematic,16,7.84739,Strategy ,33,7.85697,"Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",$61.59 
Viticulture Essential Edition ,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,34,2015,46026,8.00097,7.85076,1.26979,2.8884,1344,157615,1,1,5,3,4,748,45,90,Strategy ,37,7.84322,,,,"Contracts
Hand Management
Solo / Solitaire Game
Turn Order: Auction
Victory Points as a Resource
Worker Placement
",$48.62 
Barrage ,https://boardgamegeek.com/boardgame/251247/barrage,35,2019,16065,8.17959,7.84911,1.42272,4.1016,915,48789,25,2,4,4,4,438,60,120,Strategy ,24,7.91484,,,,"Action Retrieval
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
",Unknown
The Crew: Mission Deep Sea ,https://boardgamegeek.com/boardgame/324856/crew-mission-deep-sea,36,2021,14354,8.19588,7.84565,1.27196,2.0431,255,174082,5,3,5,4,4,187,20,20,Family ,1,7.93605,,,,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.99 
Too Many Bones ,https://boardgamegeek.com/boardgame/192135/too-many-bones,37,2017,11747,8.34721,7.83404,1.55085,3.8509,456,54524,4,1,4,3,3,322,60,120,Thematic,10,7.96869,Strategy ,26,7.89949,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Grid Movement
Hand Management
",Unknown
Food Chain Magnate ,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,38,2015,19328,8.07745,7.81501,1.59352,4.2065,930,48207,12,2,5,3,4,334,120,240,Strategy ,31,7.86526,,,,"Deck, Bag, and Pool Building
Delayed Purchase
Income
Market
Modular Board
Open Drafting
",$103.99 
Pax Pamir: Second Edition ,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,39,2019,12374,8.22712,7.80157,1.50055,3.8382,612,43549,16,1,5,4,4,442,45,120,Strategy ,29,7.87541,,,,"Action Points
Area Majority / Influence
Area Movement
Auction: Dutch
Hand Management
Increase Value of Unchosen Resources
",$79.66 
Marvel Champions: The Card Game ,https://boardgamegeek.com/boardgame/285774/marvel-champions-card-game,40,2019,21894,8.12868,7.79861,1.45851,2.9163,681,422932,12,1,3,1,2,703,45,90,Customizable,3,7.81649,,,,"Cooperative Game
Deck Construction
Hand Management
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Turn Order: Progressive
",$41.99 
Underwater Cities ,https://boardgamegeek.com/boardgame/247763/underwater-cities,41,2018,18139,8.07506,7.79067,1.1887,3.6046,655,67088,15,1,3,2,2,540,80,150,Strategy ,35,7.84911,,,,"End Game Bonuses
Hand Management
Income
Network and Route Building
Solo / Solitaire Game
Turn Order: Claim Action
",$59.75 
Puerto Rico ,https://boardgamegeek.com/boardgame/3076/puerto-rico,42,2002,69834,7.92591,7.78855,1.39168,3.2715,6192,190557,19,2,5,4,4,1550,90,150,Strategy ,44,7.77579,,,,"Action Drafting
End Game Bonuses
Follow
Hidden Victory Points
Increase Value of Unchosen Resources
Turn Order: Progressive
",$124.94 
Caverna: The Cave Farmers ,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,43,2013,33785,7.95566,7.77503,1.34382,3.78,1623,79341,14,1,5,4,4,538,30,210,Strategy ,41,7.79162,,,,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement
",$67.60 
Blood Rage ,https://boardgamegeek.com/boardgame/170216/blood-rage,44,2015,45173,7.94014,7.76877,1.41467,2.8745,1466,95226,19,3,4,4,4,920,60,90,Strategy ,46,7.75219,,,,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Closed Drafting
Hand Management
",$89.99 
Cascadia ,https://boardgamegeek.com/boardgame/295947/cascadia,45,2021,31089,7.96576,7.76469,1.11596,1.8367,894,180522,23,1,4,2,3,544,30,45,Abstract ,1,7.73605,Family ,5,7.7999,"End Game Bonuses
Hexagon Grid
Open Drafting
Pattern Building
Solo / Solitaire Game
Tile Placement
",$31.95 
Anachrony ,https://boardgamegeek.com/boardgame/185343/anachrony,46,2017,17557,8.08308,7.76092,1.39729,4.0189,952,42444,9,1,4,3,3,341,30,120,Strategy ,40,7.81303,,,,"Dice Rolling
Solo / Solitaire Game
Turn Order: Claim Action
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",Unknown
On Mars ,https://boardgamegeek.com/boardgame/184267/mars,47,2020,11683,8.20901,7.7601,1.50856,4.6732,1469,29471,16,1,4,3,3,360,90,150,Strategy ,36,7.84481,,,,"Contracts
Delayed Purchase
End Game Bonuses
Hexagon Grid
Income
Movement Points
",$112.49 
Frosthaven ,https://boardgamegeek.com/boardgame/295770/frosthaven,48,2022,5485,8.8621,7.76006,2.12919,4.3323,316,43497,1,1,4,3,3,174,30,120,Thematic,8,8.11526,Strategy ,21,7.94067,"Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Deck Construction
Deck, Bag, and Pool Building
Grid Movement
",$219.48 
Agricola ,https://boardgamegeek.com/boardgame/31260/agricola,49,2007,71329,7.88401,7.75994,1.55018,3.6367,6275,271241,36,1,5,3,4,1944,30,150,Strategy ,47,7.74691,,,,"Automatic Resource Growth
Closed Drafting
Enclosure
Hand Management
Increase Value of Unchosen Resources
Solo / Solitaire Game
",$60.54 
Crokinole ,https://boardgamegeek.com/boardgame/521/crokinole,50,1876,16916,8.01596,7.74676,1.61068,1.2348,660,192458,0,2,2,2,2,244,30,30,Family ,4,7.80311,,,,"Flicking
Team-Based Game
",$170.00 
Sleeping Gods ,https://boardgamegeek.com/boardgame/255984/sleeping-gods,51,2021,9960,8.27292,7.73839,1.45557,3.2299,348,31083,17,1,3,2,2,291,60,1200,Thematic,14,7.87518,,,,"Action Points
Cooperative Game
Events
Hand Management
Narrative Choice / Paragraph
Push Your Luck
",$91.20 
Pandemic Legacy: Season 0 ,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0,52,2020,6868,8.42399,7.73797,1.55202,3.1471,136,51044,5,2,4,4,4,112,45,60,Thematic,9,7.99582,Strategy ,30,7.87174,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$69.90 
Pandemic Legacy: Season 2 ,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,53,2017,16269,8.04482,7.73476,1.68723,3.2517,298,116569,10,2,4,4,4,220,60,60,Thematic,15,7.84799,Strategy ,43,7.78156,"Action Points
Cooperative Game
Hand Management
Legacy Game
Pick-up and Deliver
Point to Point Movement
",$53.99 
Kanban EV ,https://boardgamegeek.com/boardgame/284378/kanban-ev,54,2020,6693,8.43947,7.73325,1.3002,4.3075,400,16170,8,1,4,3,3,154,60,180,Strategy ,28,7.88315,,,,"Action Points
Hand Management
Variable Phase Order
Worker Placement
",$124.99 
Mansions of Madness: Second Edition ,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,55,2016,34732,7.95964,7.72601,1.50099,2.6709,702,87040,9,1,5,3,4,440,120,180,Thematic,20,7.75857,,,,"Area Movement
Cooperative Game
Dice Rolling
Hand Management
Map Addition
Modular Board
",$89.99 
Heat: Pedal to the Metal ,https://boardgamegeek.com/boardgame/366013/heat-pedal-metal,56,2022,14125,8.1081,7.72581,1.31064,2.1749,423,64495,13,1,6,5,6,385,30,60,Family ,6,7.78875,,,,"Catch the Leader
Hand Management
Race
Simulation
Simultaneous Action Selection
Solo / Solitaire Game
",$124.98 
Maracaibo ,https://boardgamegeek.com/boardgame/276025/maracaibo,57,2019,15031,8.05504,7.72326,1.27792,3.9049,757,52619,13,1,4,3,3,367,30,120,Strategy ,42,7.78917,,,,"Contracts
End Game Bonuses
Events
Hand Management
Income
Movement Points
",$63.08 
Lisboa ,https://boardgamegeek.com/boardgame/161533/lisboa,58,2017,10407,8.19555,7.72048,1.45893,4.593,973,25514,21,1,4,3,3,274,60,120,Strategy ,39,7.82078,,,,"Area Majority / Influence
Hand Management
Open Drafting
Solo / Solitaire Game
Tile Placement
",$126.95 
Tzolk'in: The Mayan Calendar ,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,59,2012,38021,7.8663,7.71224,1.26247,3.6694,1918,114545,26,2,4,4,4,585,90,90,Strategy ,50,7.73025,,,,"Bias
End Game Bonuses
Turn Order: Claim Action
Worker Placement
",$59.95 
Power Grid ,https://boardgamegeek.com/boardgame/2651/power-grid,60,2004,63922,7.81835,7.70887,1.33319,3.2561,4927,149398,20,3,6,4,5,1271,120,120,Strategy ,54,7.7054,,,,"Auction: Turn Order Until Pass
Auction/Bidding
Catch the Leader
Income
Market
Network and Route Building
",$39.53 
Clans of Caledonia ,https://boardgamegeek.com/boardgame/216132/clans-caledonia,61,2017,19713,7.948,7.69024,1.18203,3.4574,774,66737,14,1,4,4,4,394,30,120,Strategy ,49,7.73664,,,,"Commodity Speculation
Contracts
Market
Modular Board
Network and Route Building
Solo / Solitaire Game
",Unknown
The Quacks of Quedlinburg ,https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg,62,2018,45278,7.83306,7.68972,1.23818,1.9457,1086,217420,25,2,4,4,4,609,45,45,Family ,7,7.71769,,,,"Catch the Leader
Deck, Bag, and Pool Building
Delayed Purchase
Dice Rolling
Events
Market
",$39.99 
Paladins of the West Kingdom ,https://boardgamegeek.com/boardgame/266810/paladins-west-kingdom,63,2019,16514,7.99467,7.68644,1.23556,3.7183,742,48015,7,1,3,2,2,476,90,120,Strategy ,48,7.7405,,,,"End Game Bonuses
Market
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types
",$50.81 
Le Havre ,https://boardgamegeek.com/boardgame/35677/le-havre,64,2008,30832,7.85091,7.68584,1.41414,3.7241,2019,81068,21,1,4,3,3,841,30,150,Strategy ,53,7.71415,,,,"Automatic Resource Growth
End Game Bonuses
Increase Value of Unchosen Resources
Loans
Ownership
Solo / Solitaire Game
",Unknown
The Crew: The Quest for Planet Nine ,https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,65,2019,38694,7.83153,7.68449,1.30361,1.9625,773,524525,37,3,5,4,4,651,20,20,Strategy ,57,7.68817,Family ,8,7.71363,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.99 
The Gallerist ,https://boardgamegeek.com/boardgame/125153/gallerist,66,2015,13888,8.02999,7.68209,1.3525,4.2571,910,32806,11,1,4,3,4,302,60,150,Strategy ,45,7.75568,,,,"Area Majority / Influence
Commodity Speculation
Contracts
Investment
Open Drafting
Point to Point Movement
",$147.90 
Star Wars: Imperial Assault ,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,67,2014,24098,7.96933,7.6818,1.41865,3.3032,907,89544,13,2,5,2,2,401,60,120,Thematic,23,7.72002,,,,"Dice Rolling
Die Icon Resolution
Grid Movement
Line of Sight
Modular Board
Role Playing
",$102.59 
Mechs vs. Minions ,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,68,2016,17040,7.97881,7.67202,1.35121,2.429,310,62238,14,2,4,4,4,245,60,120,Thematic,21,7.74933,Strategy ,56,7.70244,"Action Queue
Bias
Cooperative Game
Dice Rolling
Modular Board
Open Drafting
",Unknown
Grand Austria Hotel ,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,69,2015,19433,7.92934,7.67036,1.25866,3.2193,757,88122,6,2,3,2,2,673,60,120,Strategy ,51,7.71524,,,,"Action Drafting
Contracts
Dice Rolling
End Game Bonuses
Hand Management
Set Collection
",$63.76 
Cthulhu: Death May Die ,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die,70,2019,10737,8.17314,7.66512,1.40125,2.4313,313,40456,7,1,4,3,3,240,90,120,Thematic,19,7.80951,,,,"Action Points
Cooperative Game
Dice Rolling
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Variable Player Powers
",$87.99 
Android: Netrunner ,https://boardgamegeek.com/boardgame/124742/android-netrunner,71,2012,29637,7.87825,7.65967,1.66404,3.4026,1647,336303,12,2,2,2,2,405,45,45,Customizable,5,7.77356,,,,"Action Points
Deck Construction
Hand Management
Race
Secret Unit Deployment
Take That
",Unknown
Kingdom Death: Monster ,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,72,2015,9349,8.50515,7.65929,2.01477,4.2649,589,47718,6,1,4,4,4,338,60,180,Thematic,17,7.83591,,,,"Cooperative Game
Critical Hits and Failures
Dice Rolling
Grid Movement
Role Playing
Solo / Solitaire Game
",$849.00 
Azul ,https://boardgamegeek.com/boardgame/230802/azul,73,2017,83825,7.75836,7.64758,1.15332,1.76,2221,598593,47,2,4,2,2,1424,30,45,Abstract ,2,7.66144,Family ,9,7.65609,"End Game Bonuses
Open Drafting
Pattern Building
Tile Placement
Turn Order: Claim Action
",$21.70 
Race for the Galaxy ,https://boardgamegeek.com/boardgame/28143/race-galaxy,74,2007,54122,7.7463,7.63377,1.46986,2.9903,3696,674851,16,2,4,2,2,1199,30,60,Strategy ,67,7.63535,,,,"Follow
Hand Management
Income
Market
Multi-Use Cards
Set Collection
",$27.43 
Agricola (Revised Edition) ,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition,75,2016,16532,7.96036,7.63339,1.42943,3.4615,559,47751,0,1,4,3,4,272,30,120,Strategy ,59,7.67249,,,,"Enclosure
Hand Management
Worker Placement
Advantage Token
Automatic Resource Growth
Closed Drafting
",$60.54 
Eclipse: New Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/72125/eclipse,76,2011,28105,7.83888,7.62966,1.50478,3.7028,1945,53849,21,2,6,4,4,622,60,180,Strategy ,64,7.64016,,,,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Unknown
Eclipse: New Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-galaxy,77,2011,28105,7.83888,7.62966,1.50478,3.7028,1945,53849,21,2,6,4,4,622,60,180,Strategy ,64,7.64016,,,,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Unknown
Five Tribes ,https://boardgamegeek.com/boardgame/157354/five-tribes,78,2014,40241,7.77651,7.6285,1.26959,2.8516,1476,115691,20,2,4,2,2,854,40,80,Strategy ,68,7.62971,,,,"Auction/Bidding
Constrained Bidding
End Game Bonuses
Hidden Victory Points
Mancala
Modular Board
",Unknown
Aeon's End ,https://boardgamegeek.com/boardgame/191189/aeons-end,79,2016,19261,7.92145,7.62809,1.35783,2.8043,552,103755,8,1,4,2,2,549,60,60,Strategy ,63,7.64208,,,,"Chit-Pull System
Cooperative Game
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",$52.77 
Clank!: A Deck-Building Adventure ,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,80,2016,40284,7.78628,7.62594,1.20319,2.2261,889,140892,16,2,4,3,3,623,30,60,Strategy ,73,7.60842,Family ,10,7.6391,"Action Points
Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Movement Points
Open Drafting
",$53.00 
Obsession ,https://boardgamegeek.com/boardgame/231733/obsession,81,2018,9097,8.15252,7.61644,1.34708,3.1118,322,41901,1,1,4,2,2,236,30,90,Thematic,22,7.72177,Strategy ,52,7.71415,"Action Retrieval
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game
Worker Placement
",Unknown
Fields of Arle ,https://boardgamegeek.com/boardgame/159675/fields-arle,82,2014,10507,8.03451,7.60897,1.29467,3.8561,528,32172,7,1,2,2,2,215,60,120,Strategy ,55,7.70495,,,,"Automatic Resource Growth
Highest-Lowest Scoring
Income
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
",Unknown
Through the Ages: A Story of Civilization ,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,83,2006,19155,7.85322,7.60843,1.69771,4.1744,1829,71985,13,2,4,3,3,682,120,120,Strategy ,61,7.66229,,,,"Action Points
Auction: Dutch
Auction/Bidding
Hand Management
Open Drafting
",$99.99 
