Title,ObjectID,Link,Rank,Year,Designers,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,NumGeekLists,NumTrading,NumWanting,NumWish,NumOwned,NumComments,NumWantToPlay,NumFans,Views,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Expansions,Categories,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Karuba ,183251,https://boardgamegeek.com/boardgame/183251/karuba,631,2015,['Rüdiger Dorn'],11439,7.16658,6.87271,1.0987,1.4247,259,63334,6,1878,276,400,2725,16640,2085,1468,359,640314,2.0,4.0,4.0,4.0,145,30,40,"['Bingo', 'Connections', 'Grid Movement', 'Network and Route Building', 'Simultaneous Action Selection', 'Tile Placement']","['Brettspiel Adventskalender 2016', 'Karuba: Add-on', 'Karuba: Bonus Tiles', 'Karuba: The Volcano']","['Exploration', 'Puzzle']",Family,165.0,6.94382,39.99,,,,,,
Time's Up! Title Recall! ,36553,https://boardgamegeek.com/boardgame/36553/times-up-title-recall,652,2008,"['Michael Adams', 'Peter Sarrett']",3678,7.679,6.86133,1.52296,1.1895,95,15649,2,975,126,122,1116,5330,816,596,91,382703,4.0,4.0,6.0,6.0,38,60,60,"['Acting', 'Communication Limits', 'Memory', 'Team-Based Game']","[""Time's Up: Title Recall – Expansion 1"", ""Time's Up: Title Recall – Expansion 2"", ""Time's Up: Title Recall – Expansion 3"", ""Time's Up: Title Recall – Expansion 4"", ""Time's Up! Title Recall Sample"", ""Time's Up! Title Recall: Dice Tower Expansion Pack""]","['Humor', 'Movies / TV / Radio theme', 'Party Game']",Party,10.0,7.32786,19.99,,,,,,
Draftosaurus ,264055,https://boardgamegeek.com/boardgame/264055/draftosaurus,653,2019,"['Antoine Bauza', 'Corentin Lebrat', 'Ludovic Maublanc', 'Théo Rivière']",15395,7.09248,6.86122,1.13092,1.2458,354,163395,13,1271,248,325,2706,25291,2124,1367,561,601363,2.0,5.0,4.0,4.0,215,15,15,"['Closed Drafting', 'Dice Rolling', 'Set Collection', 'Simultaneous Action Selection']","['Draftosaurus: Aerial Show', 'Draftosaurus: Goodie Tile', 'Draftosaurus: Marina', 'Draftosaurus: Marina e Show Aéreo', 'Special Attractions (fan expansion for Draftosaurus)']","['Animals', 'Prehistoric', 'Science Fiction']",Family,183.0,6.91198,,,,,,,
HITSTER ,318243,https://boardgamegeek.com/boardgame/318243/hitster,640,2022,['Marcus Carleson'],4248,7.61444,6.86599,1.38094,1.0097,103,47479,10,234,14,61,669,9067,460,369,211,200728,2.0,10.0,4.0,6.0,73,30,30,[],"['Hitster Bayern 1', 'Hitster: Christmas', 'HITSTER: Movies & TV Soundtracks']","['Card Game', 'Music', 'Party Game', 'Print & Play', 'Trivia']",Party,20.0,7.17201,59.33,,,,,,
Take 5 ,432,https://boardgamegeek.com/boardgame/432/take-5,670,1994,['Wolfgang Kramer'],30753,6.97485,6.84838,1.27345,1.1914,1745,283233,7,4145,364,267,2214,46313,6081,1136,689,1123385,3.0,10.0,5.0,6.0,614,45,45,"['Hand Management', 'Score-and-Reset Game', 'Simultaneous Action Selection']","['6 nimmt! Plus', '6 nimmt!: Even/Odd', '6 nimmt!: Luggage Promo Card', ""6 qui prend!: L'extension vachement bien"", 'Take 5: The Jumping Cow']","['Card Game', 'Number']",Family,198.0,6.86769,13.5,,,,,,
Coup ,131357,https://boardgamegeek.com/boardgame/131357/coup,685,2012,['Rikki Tahta'],49220,6.97956,6.8372,1.42802,1.4105,1498,276230,2,6252,1449,254,4407,86625,8306,2329,1928,2345612,3.0,6.0,5.0,5.0,610,15,15,"['Hidden Roles', 'Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']","['Coup: Bureaucrat Promo Card', 'Coup: Inquisition', 'Coup: Inquisitor Promo', 'Coup: Jester Promo Card', 'Coup: Promo Bufão & Burocrata', 'Coup: Reformation']","['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']",Party,62.0,6.76944,14.99,,,,,,
Coloretto ,5782,https://boardgamegeek.com/boardgame/5782/coloretto,697,2003,['Michael Schacht'],21972,6.98073,6.82477,1.13613,1.2725,1519,164316,9,4446,397,320,2130,30016,5174,1231,454,826123,2.0,5.0,4.0,4.0,395,30,30,"['Open Drafting', 'Push Your Luck', 'Set Collection', 'Take That', 'Turn Order: Pass Order']","['Coloretto for two players', 'Coloretto: +3-Karte', 'Coloretto: The Extra Cards', 'Coloretto: The Limit Cards', 'Coloretto: Zwei Neue Übersichtskarten', 'Stadt Land Spielt Limitierte Sonderdrucke 2015']","['Animals', 'Card Game']",Family,202.0,6.86028,14.97,,,,,,
Time's Up! ,1353,https://boardgamegeek.com/boardgame/1353/times-up,729,1999,['Peter Sarrett'],6057,7.28705,6.79565,1.61527,1.2023,341,19378,9,1817,138,100,986,6621,1244,527,127,598887,4.0,4.0,6.0,6.0,72,90,90,"['Acting', 'Communication Limits', 'Memory', 'Team-Based Game']","[""Time's Up! Expansion set #1"", ""Time's Up! Expansion set #2"", ""Time's Up! Game Geek Expansion"", ""Time's Up! Limited Edition Expansion"", ""Time's Up!: de Troy"", ""Time's Up!: Game Boy Geek 2022 Promo Card""]","['Humor', 'Party Game']",Party,28.0,7.06514,19.99,,,,,,
Escape: The Curse of the Temple ,113294,https://boardgamegeek.com/boardgame/113294/escape-the-curse-of-the-temple,777,2012,['Kristian Amundsen Østby'],17266,6.95596,6.76277,1.41125,1.4779,701,90735,13,4154,675,447,3987,21713,3692,1916,720,1249056,1.0,5.0,4.0,4.0,203,10,10,"['Cooperative Game', 'Dice Rolling', 'Elapsed Real Time Ending', 'Grid Movement', 'Modular Board', 'Physical Removal', 'Push Your Luck', 'Re-rolling and Locking', 'Real-Time', 'Roll / Spin and Move', 'Solo / Solitaire Game', 'Tile Placement']","['Escape: Queenie Box', 'Escape: The Curse of the Temple – Exclusive Queenie 2020: Dice Shrine Chambers', 'Escape: The Curse of the Temple – Expansion 1: Illusions', 'Escape: The Curse of the Temple – Expansion 2: Quest', 'Escape: The Curse of the Temple – Expansion 3: Traps', 'Escape: The Curse of the Temple – Queenie 1: The Pit']","['Action / Dexterity', 'Adventure', 'Dice', 'Electronic', 'Exploration', 'Real-time']",Family,230.0,6.79672,,,,,,,
7 Wonders: Architects ,346703,https://boardgamegeek.com/boardgame/346703/7-wonders-architects,785,2021,['Antoine Bauza'],11877,7.04305,6.75807,1.44448,1.3599,389,150770,22,829,140,250,2619,17113,1872,1382,565,583518,2.0,7.0,4.0,4.0,233,25,25,"['Neighbor Scope', 'Open Drafting', 'Set Collection', 'Variable Player Powers']",['7 Wonders: Architects – Medals'],['Ancient'],Family,218.0,6.81886,42.99,,,,,,
Love Letter: Batman ,168584,https://boardgamegeek.com/boardgame/168584/love-letter-batman,803,2015,['Seiji Kanai'],5752,7.2751,6.74614,1.30785,1.1884,138,27293,0,687,124,119,733,10291,1023,366,174,274235,3.0,4.0,4.0,4.0,59,20,20,"['Hand Management', 'Player Elimination']",[],"['Card Game', 'Comic Book / Strip', 'Deduction']",Family,209.0,6.84481,,,,,,,
Dixit: Journey ,121288,https://boardgamegeek.com/boardgame/121288/dixit-journey,810,2012,['Jean-Louis Roubira'],4650,7.39122,6.74187,1.32915,1.2576,132,8725,3,766,125,125,722,8612,795,222,103,268227,4.0,6.0,5.0,6.0,30,30,30,"['Acting', 'Simultaneous Action Selection', 'Storytelling', 'Targeted Clues', 'Voting']","['Dixit 2: ""Gift"" Promo Card', 'Dixit 2: ""The American"" Promo Card', 'Dixit AsmoPlay Ingenuity Promos', 'Dixit: ""Merry Christmas"" Promo Card', 'Dixit: ""Pumpkinhead"" and ""Santa"" Promo Cards', 'Dixit: ""The Dragon"" Promo Card']","['Card Game', 'Humor', 'Party Game']",Party,29.0,7.06087,34.99,,,,,,
Perudo ,45,https://boardgamegeek.com/boardgame/45/perudo,850,1800,['Richard Borg'],15892,6.92283,6.71962,1.4123,1.2515,994,115380,3,5843,396,145,1440,22006,4251,849,341,944677,3.0,6.0,5.0,6.0,219,15,30,"['Betting and Bluffing', 'Dice Rolling', 'Player Elimination']","[""Cups 'N' Dice""]","['Bluffing', ""Children's Game"", 'Dice', 'Movies / TV / Radio theme', 'Party Game']",Party,61.0,6.77419,32.99,Family,259.0,6.75497,,,
Deep Sea Adventure ,169654,https://boardgamegeek.com/boardgame/169654/deep-sea-adventure,874,2014,"['Jun Sasaki', 'Goro Sasaki']",18868,6.88754,6.70352,1.29517,1.1865,445,93322,0,2126,406,294,2978,33133,3215,1679,745,844988,3.0,6.0,4.0,4.0,261,30,30,"['Pick-up and Deliver', 'Push Your Luck', 'Roll / Spin and Move']",['Deep Sea Adventure: Expansion Dice'],"['Dice', 'Exploration', 'Nautical', 'Party Game']",Family,273.0,6.73234,22.99,,,,,,
Tumblin' Dice ,16747,https://boardgamegeek.com/boardgame/16747/tumblin-dice,885,2004,"['Carey Grayson', 'Randy Nash', 'Rick Soued']",4870,7.25455,6.6988,1.37917,1.0418,239,42134,0,1445,45,521,1686,5019,1208,728,150,381589,2.0,6.0,4.0,4.0,70,20,45,"['Dice Rolling', 'Flicking']",[],"['Action / Dexterity', 'Dice', 'Party Game']",Party,37.0,6.99596,,Family,212.0,6.83006,,,
Lovecraft Letter ,198740,https://boardgamegeek.com/boardgame/198740/lovecraft-letter,923,2017,['Seiji Kanai'],5233,7.22646,6.67349,1.4147,1.4327,104,30822,0,506,122,128,1131,9661,837,630,240,318905,3.0,6.0,4.0,5.0,86,5,15,"['Deduction', 'Hand Management', 'Player Elimination', 'Push Your Luck', 'Score-and-Reset Game', 'Take That']",[],"['Card Game', 'Deduction', 'Fantasy', 'Horror']",Party,47.0,6.86472,,,,,,,
Celestia ,175117,https://boardgamegeek.com/boardgame/175117/celestia,928,2015,['Aaron Weissblum'],12099,6.929,6.67164,1.2295,1.3239,284,52870,4,1367,241,294,2443,16397,1922,1375,404,623396,3.0,6.0,5.0,6.0,152,30,30,"['Betting and Bluffing', 'Dice Rolling', 'Hidden Victory Points', 'Push Your Luck']","['Celestia: A Little Help', 'Celestia: A Little Initiative', 'Celestia: Boscalumia, The Forgotten City Promo Tile', 'Celestia: Grappling Hook Promo Card', 'Celestia: Instructor Promo Card', 'Celestia: Matryoshburg Promo Tile']","['Adventure', 'Aviation / Flight', 'Card Game', 'Fantasy']",Family,277.0,6.7234,,,,,,,
Spicy ,299169,https://boardgamegeek.com/boardgame/299169/spicy,921,2020,['Győri Zoltán Gábor'],6349,7.15761,6.67588,1.32969,1.3381,210,47660,9,476,104,148,1587,12532,878,924,356,344693,3.0,6.0,4.0,5.0,121,15,20,"['Betting and Bluffing', 'Hand Management']",[],"['Animals', 'Bluffing', 'Card Game']",Party,53.0,6.83655,17.99,,,,,,
Parade ,56692,https://boardgamegeek.com/boardgame/56692/parade,937,2007,['Naoki Homma'],8294,7.00321,6.66745,1.2154,1.4605,304,46507,2,1614,168,295,1712,12421,1767,1085,279,477023,2.0,6.0,4.0,4.0,147,45,45,"['Hand Management', 'Set Collection']",[],"['Card Game', 'Novel-based', 'Number']",Family,264.0,6.74322,,,,,,,
Stella: Dixit Universe ,329845,https://boardgamegeek.com/boardgame/329845/stella-dixit-universe,981,2021,"['Gérald Cattiaux', 'Jean-Louis Roubira']",4076,7.29504,6.64358,1.2217,1.125,88,21704,10,378,52,138,1405,8075,659,798,215,238939,3.0,6.0,5.0,6.0,60,30,30,"['Deduction', 'Push Your Luck', 'Race', 'Targeted Clues']","[""Dixit: Disney Edition – Chip 'n Dale Promo Card"", 'Dixit: Disney Edition – Olaf Promo Card', 'Dixit: Disney Edition – Princess Dress Promo Card', 'Dixit: Disney Edition – Villain Promo Card', 'Stella: Dixit Universe – 5 ""Personality"" card Promo']","['Card Game', 'Party Game']",Party,38.0,6.98997,23.1,Family,243.0,6.78364,,,
Spyfall ,166384,https://boardgamegeek.com/boardgame/166384/spyfall,1011,2014,['Alexandr Ushan'],21880,6.75538,6.61858,1.43788,1.2318,522,108324,13,3983,1011,257,2989,30173,3569,1537,503,1274756,4.0,8.0,6.0,6.0,226,15,15,"['Acting', 'Communication Limits', 'Memory', 'Role Playing', 'Roles with Asymmetric Information', 'Targeted Clues', 'Traitor Game', 'Voting']","['Spyfall: Cathedral promo cards', ""Spyfall: Dracula's Castle"", 'Spyfall: Gaming Convention promo cards', 'Spyfall: Ice Hockey Stadium promo cards', 'Spyfall: Produce Farm promo cards', 'Spyfall: The Box Is Not Enough']","['Bluffing', 'Deduction', 'Humor', 'Party Game', 'Spies / Secret Agents']",Party,75.0,6.66179,33.5,,,,,,
The Mind ,244992,https://boardgamegeek.com/boardgame/244992/the-mind,1013,2018,['Wolfgang Warsch'],34164,6.74104,6.61791,1.59868,1.079,709,195087,29,2691,796,179,3263,62366,4785,2097,1009,1230926,2.0,4.0,4.0,4.0,436,20,20,"['Communication Limits', 'Cooperative Game', 'Hand Management']",['The Mind: Level 13'],"['Card Game', 'Number']",Party,82.0,6.63488,10.49,Family,354.0,6.62573,,,
Las Vegas Royale ,271319,https://boardgamegeek.com/boardgame/271319/las-vegas-royale,1027,2019,['Rüdiger Dorn'],2987,7.46441,6.61068,1.14284,1.4394,66,12078,1,329,50,294,1560,6068,530,802,193,290335,3.0,5.0,4.0,5.0,52,45,60,"['Area Majority / Influence', 'Dice Rolling']",[],['Dice'],Family,240.0,6.78542,96.99,,,,,,
Cockroach Poker ,11971,https://boardgamegeek.com/boardgame/11971/cockroach-poker,1045,2004,['Jacques Zeimet'],14879,6.8037,6.60077,1.46848,1.1005,557,68912,6,1634,277,228,2063,26075,2882,1151,430,668009,3.0,6.0,5.0,5.0,197,20,20,"['Hand Management', 'Set Collection', 'Single Loser Game']",[],"['Bluffing', 'Card Game', 'Party Game']",Party,81.0,6.64132,43.73,,,,,,
Concept ,147151,https://boardgamegeek.com/boardgame/147151/concept,1054,2013,"['Gaëtan Beaujannot', 'Alain Rivollet']",21149,6.75284,6.59529,1.39262,1.382,555,56262,19,2881,649,219,2762,35227,3286,1369,478,731551,3.0,12.0,6.0,6.0,166,40,40,"['Communication Limits', 'Race', 'Real-Time', 'Team-Based Game']",['Concept: La Recharge'],"['Deduction', 'Party Game', 'Real-time', 'Word Game']",Party,80.0,6.64402,35.97,,,,,,
Meeple Circus ,193214,https://boardgamegeek.com/boardgame/193214/meeple-circus,1058,2017,['Cédric Millet'],6108,7.02033,6.59386,1.29842,1.4054,111,19826,1,1050,162,248,1555,9844,968,860,204,359932,2.0,5.0,4.0,5.0,78,45,45,"['Open Drafting', 'Pattern Building', 'Push Your Luck', 'Real-Time', 'Stacking and Balancing']","['Meeple Circus: Show Must Go On!', 'Meeple Circus: The Wild Animal & Aerial Show', 'Meeple Circus: Tiny Acrobats', 'Meeple Circus: Tomatoes and Awards']","['Action / Dexterity', 'Animals', 'Real-time']",Family,306.0,6.68379,,,,,,,
5-Minute Dungeon ,207830,https://boardgamegeek.com/boardgame/207830/5-minute-dungeon,1063,2017,['Connor Reid'],10662,6.91314,6.59145,1.35565,1.1168,274,54966,4,1071,336,157,2248,21093,2105,1076,534,708139,2.0,5.0,4.0,5.0,183,5,30,"['Cooperative Game', 'Elapsed Real Time Ending', 'Hand Management', 'Move Through Deck', 'Real-Time', 'Variable Player Powers']","['5-Minute Dungeon: Baby Barbarian', '5-Minute Dungeon: Curses! Foiled Again!']","['Card Game', 'Fantasy', 'Fighting', 'Print & Play', 'Real-time']",Family,367.0,6.60966,,,,,,,
